route_row_id,app,route,file,line,kind,snippet
crm-front-route-07e0e538,crm,/configuracoes/api,apps/crm/src/app/configuracoes/acoes.ts,217,other,if (resultado.ok) recarregar('/configuracoes/api');
crm-front-route-07e0e538,crm,/configuracoes/api,apps/crm/src/app/configuracoes/acoes.ts,226,other,if (resultado.ok) recarregar('/configuracoes/api');
crm-front-route-07e0e538,crm,/configuracoes/api,apps/crm/src/app/configuracoes/acoes.ts,235,other,if (resultado.ok) recarregar('/configuracoes/api');
crm-front-route-07e0e538,crm,/configuracoes/api,apps/crm/src/app/configuracoes/acoes.ts,248,other,if (resultado.ok) recarregar('/configuracoes/api');
crm-front-route-07e0e538,crm,/configuracoes/api,apps/crm/src/app/configuracoes/acoes.ts,257,other,if (resultado.ok) recarregar('/configuracoes/api');
crm-front-route-07e0e538,crm,/configuracoes/api,apps/crm/src/componentes/configuracoes/cabecalho.tsx,82,other,"href: '/configuracoes/api',"
crm-front-route-07e0e538,crm,/configuracoes/api,apps/crm/src/componentes/estrutura-crm.tsx,55,other,"{ rotulo: 'Chaves e webhooks', href: '/configuracoes/api' },"
crm-front-route-689e3425,crm,/configuracoes/campos,apps/crm/src/app/configuracoes/acoes.ts,185,other,if (resultado.ok) recarregar('/configuracoes/campos');
crm-front-route-689e3425,crm,/configuracoes/campos,apps/crm/src/app/configuracoes/acoes.ts,197,other,if (resultado.ok) recarregar('/configuracoes/campos');
crm-front-route-689e3425,crm,/configuracoes/campos,apps/crm/src/app/configuracoes/acoes.ts,206,other,if (resultado.ok) recarregar('/configuracoes/campos');
crm-front-route-689e3425,crm,/configuracoes/campos,apps/crm/src/componentes/configuracoes/cabecalho.tsx,72,other,"href: '/configuracoes/campos',"
crm-front-route-689e3425,crm,/configuracoes/campos,apps/crm/src/componentes/estrutura-crm.tsx,52,other,"{ rotulo: 'Campos personalizados', href: '/configuracoes/campos' },"
crm-front-route-cbdcfd55,crm,/configuracoes/espaco,apps/crm/src/app/configuracoes/acoes.ts,87,other,if (resultado.ok) recarregar('/configuracoes/espaco');
crm-front-route-cbdcfd55,crm,/configuracoes/espaco,apps/crm/src/app/configuracoes/perfil/page.tsx,124,link,"O fuso se muda em <Link href=""/configuracoes/espaco"">Espaço de trabalho</Link>."
crm-front-route-cbdcfd55,crm,/configuracoes/espaco,apps/crm/src/componentes/configuracoes/cabecalho.tsx,42,other,"href: '/configuracoes/espaco',"
crm-front-route-cbdcfd55,crm,/configuracoes/espaco,apps/crm/src/componentes/estrutura-crm.tsx,49,other,"{ rotulo: 'Espaço de trabalho', href: '/configuracoes/espaco' },"
crm-front-route-a1049bf7,crm,/configuracoes/faixas,apps/crm/src/componentes/configuracoes/cabecalho.tsx,67,other,"href: '/configuracoes/faixas',"
crm-front-route-a1049bf7,crm,/configuracoes/faixas,apps/crm/src/componentes/estrutura-crm.tsx,54,other,"{ rotulo: 'Faixas e roteamento', href: '/configuracoes/faixas' },"
crm-front-route-2ea1e404,crm,/configuracoes/membros,apps/crm/src/app/configuracoes/acoes.ts,98,other,if (resultado.ok) recarregar('/configuracoes/membros');
crm-front-route-2ea1e404,crm,/configuracoes/membros,apps/crm/src/app/configuracoes/acoes.ts,107,other,if (resultado.ok) recarregar('/configuracoes/membros');
crm-front-route-2ea1e404,crm,/configuracoes/membros,apps/crm/src/app/configuracoes/acoes.ts,117,other,"if (resultado.ok) recarregar('/configuracoes/membros', '/configuracoes/papeis');"
crm-front-route-2ea1e404,crm,/configuracoes/membros,apps/crm/src/app/configuracoes/acoes.ts,130,other,if (resultado.ok) recarregar('/configuracoes/membros');
crm-front-route-2ea1e404,crm,/configuracoes/membros,apps/crm/src/componentes/configuracoes/cabecalho.tsx,47,other,"href: '/configuracoes/membros',"
crm-front-route-2ea1e404,crm,/configuracoes/membros,apps/crm/src/componentes/estrutura-crm.tsx,50,other,"{ rotulo: 'Membros', href: '/configuracoes/membros' },"
crm-front-route-ceb72bcd,crm,/configuracoes/papeis/:*,apps/crm/src/app/configuracoes/acoes.ts,154,other,"if (resultado.ok) recarregar(`/configuracoes/papeis/${papelId}`, '/configuracoes/papeis');"
crm-front-route-ceb72bcd,crm,/configuracoes/papeis/:*,apps/crm/src/app/configuracoes/papeis/page.tsx,31,link,"<Link className=""cfg-link-forte"" href={`/configuracoes/papeis/${p.id}`}>"
crm-front-route-b7d8a8d8,crm,/configuracoes/papeis,apps/crm/src/app/configuracoes/acoes.ts,117,other,"if (resultado.ok) recarregar('/configuracoes/membros', '/configuracoes/papeis');"
crm-front-route-b7d8a8d8,crm,/configuracoes/papeis,apps/crm/src/app/configuracoes/acoes.ts,141,other,if (resultado.ok) recarregar('/configuracoes/papeis');
crm-front-route-b7d8a8d8,crm,/configuracoes/papeis,apps/crm/src/app/configuracoes/acoes.ts,154,other,"if (resultado.ok) recarregar(`/configuracoes/papeis/${papelId}`, '/configuracoes/papeis');"
crm-front-route-b7d8a8d8,crm,/configuracoes/papeis,apps/crm/src/app/configuracoes/acoes.ts,167,other,recarregar('/configuracoes/papeis');
crm-front-route-b7d8a8d8,crm,/configuracoes/papeis,apps/crm/src/app/configuracoes/acoes.ts,168,redirect,redirect('/configuracoes/papeis');
crm-front-route-b7d8a8d8,crm,/configuracoes/papeis,apps/crm/src/app/configuracoes/papeis/[id]/page.tsx,67,link,"<Link className=""cfg-voltar"" href=""/configuracoes/papeis"">"
crm-front-route-b7d8a8d8,crm,/configuracoes/papeis,apps/crm/src/app/configuracoes/papeis/[id]/page.tsx,86,link,"<Link href=""/configuracoes/papeis"">crie um papel próprio</Link>."
crm-front-route-b7d8a8d8,crm,/configuracoes/papeis,apps/crm/src/componentes/configuracoes/cabecalho.tsx,52,other,"href: '/configuracoes/papeis',"
crm-front-route-b7d8a8d8,crm,/configuracoes/papeis,apps/crm/src/componentes/estrutura-crm.tsx,51,other,"{ rotulo: 'Papéis', href: '/configuracoes/papeis' },"
crm-front-route-0d0c5e5b,crm,/configuracoes/perfil,apps/crm/src/app/configuracoes/acoes.ts,75,other,if (resultado.ok) recarregar('/configuracoes/perfil');
crm-front-route-0d0c5e5b,crm,/configuracoes/perfil,apps/crm/src/componentes/configuracoes/cabecalho.tsx,32,other,"href: '/configuracoes/perfil',"
crm-front-route-0d0c5e5b,crm,/configuracoes/perfil,apps/crm/src/componentes/estrutura-crm.tsx,48,other,"{ rotulo: 'Perfil', href: '/configuracoes/perfil' },"
crm-front-route-4fdda532,crm,/configuracoes/regras-de-score,apps/crm/src/componentes/configuracoes/cabecalho.tsx,62,other,"href: '/configuracoes/regras-de-score',"
crm-front-route-4fdda532,crm,/configuracoes/regras-de-score,apps/crm/src/componentes/estrutura-crm.tsx,53,other,"{ rotulo: 'Regras de score', href: '/configuracoes/regras-de-score' },"
crm-front-route-ecefc767,crm,/configuracoes,apps/crm/src/app/configuracoes/configuracoes.css,5,other,folha entra pelo `layout.tsx` de `/configuracoes` e não alcança mais nada.
crm-front-route-ecefc767,crm,/configuracoes,apps/crm/src/componentes/configuracoes/cabecalho.tsx,10,other,* índice em `/configuracoes` é o que as torna alcançáveis — e continua útil
crm-front-route-ecefc767,crm,/configuracoes,apps/crm/src/componentes/configuracoes/cabecalho.tsx,131,link,"<Link className=""cfg-voltar"" href=""/configuracoes"">"
crm-front-route-ecefc767,crm,/configuracoes,apps/crm/src/componentes/estrutura-crm.tsx,82,other,if (caminho.startsWith('/configuracoes')) {
crm-front-route-ecefc767,crm,/configuracoes,apps/crm/src/componentes/estrutura-crm.tsx,163,href,"href=""/configuracoes"""
crm-front-route-0736e905,crm,/configuracoes,apps/crm/src/app/configuracoes/configuracoes.css,5,other,folha entra pelo `layout.tsx` de `/configuracoes` e não alcança mais nada.
crm-front-route-0736e905,crm,/configuracoes,apps/crm/src/componentes/configuracoes/cabecalho.tsx,10,other,* índice em `/configuracoes` é o que as torna alcançáveis — e continua útil
crm-front-route-0736e905,crm,/configuracoes,apps/crm/src/componentes/configuracoes/cabecalho.tsx,131,link,"<Link className=""cfg-voltar"" href=""/configuracoes"">"
crm-front-route-0736e905,crm,/configuracoes,apps/crm/src/componentes/estrutura-crm.tsx,82,other,if (caminho.startsWith('/configuracoes')) {
crm-front-route-0736e905,crm,/configuracoes,apps/crm/src/componentes/estrutura-crm.tsx,163,href,"href=""/configuracoes"""
crm-front-route-b15f7769,crm,/contas/:*,apps/crm/src/app/contas/[id]/page.tsx,203,other,base={`/contas/${ficha.id}`}
crm-front-route-b15f7769,crm,/contas/:*,apps/crm/src/app/contas/page.tsx,19,link,"celula: (c) => <Link href={`/contas/${c.id}`}>{c.nome}</Link>,"
crm-front-route-b15f7769,crm,/contas/:*,apps/crm/src/app/contatos/[id]/page.tsx,68,link,<Link href={`/contas/${ficha.contaId}`}>{ficha.contaNome}</Link>
crm-front-route-b15f7769,crm,/contas/:*,apps/crm/src/app/contatos/[id]/page.tsx,120,link,<Link href={`/contas/${ficha.contaId}`}>{ficha.contaNome}</Link>
crm-front-route-b15f7769,crm,/contas/:*,apps/crm/src/app/contatos/page.tsx,29,link,"c.contaId ? <Link href={`/contas/${c.contaId}`}>{c.contaNome}</Link> : '—',"
crm-front-route-b15f7769,crm,/contas/:*,apps/crm/src/app/leads/[id]/page.tsx,106,link,<Link href={`/contas/${ficha.contaId}`}>{ficha.contaNome}</Link>
crm-front-route-b15f7769,crm,/contas/:*,apps/crm/src/app/oportunidades/[id]/page.tsx,133,link,<Link href={`/contas/${ficha.contaId}`}>{ficha.contaNome}</Link>
crm-front-route-b15f7769,crm,/contas/:*,apps/crm/src/app/oportunidades/[id]/page.tsx,173,link,<Link href={`/contas/${ficha.contaId}`}>{ficha.contaNome}</Link>
crm-front-route-b15f7769,crm,/contas/:*,apps/crm/src/app/oportunidades/page.tsx,51,link,"o.contaId ? <Link href={`/contas/${o.contaId}`}>{o.contaNome}</Link> : '—',"
crm-front-route-b15f7769,crm,/contas/:*,apps/crm/src/lib/busca.ts,91,other,"href: `/contas/${c.id}`,"
crm-front-route-09f8e27a,crm,/contas,apps/crm/src/app/contas/[id]/page.tsx,116,other,"trilha={{ href: '/contas', rotulo: 'Contas' }}"
crm-front-route-09f8e27a,crm,/contas,apps/crm/src/app/contas/page.tsx,63,other,"<form className=""tblhead"" method=""get"" action=""/contas"">"
crm-front-route-09f8e27a,crm,/contas,apps/crm/src/componentes/estrutura-crm.tsx,143,other,"{ rotulo: 'Contas', href: '/contas', icone: 'pessoas' },"
crm-front-route-b48d6eae,crm,/contatos/:*,apps/crm/src/app/contas/[id]/page.tsx,52,link,"celula: (c) => <Link href={`/contatos/${c.id}`}>{c.nome}</Link>,"
crm-front-route-b48d6eae,crm,/contatos/:*,apps/crm/src/app/contas/[id]/page.tsx,187,link,v={<Link href={`/contatos/${c.id}`}>{c.nome}</Link>}
crm-front-route-b48d6eae,crm,/contatos/:*,apps/crm/src/app/contatos/[id]/page.tsx,139,other,base={`/contatos/${ficha.id}`}
crm-front-route-b48d6eae,crm,/contatos/:*,apps/crm/src/app/contatos/page.tsx,23,link,"celula: (c) => <Link href={`/contatos/${c.id}`}>{c.nome}</Link>,"
crm-front-route-b48d6eae,crm,/contatos/:*,apps/crm/src/lib/busca.ts,98,other,"href: `/contatos/${c.id}`,"
crm-front-route-214f19df,crm,/contatos,apps/crm/src/app/contatos/[id]/page.tsx,52,other,"trilha={{ href: '/contatos', rotulo: 'Contatos' }}"
crm-front-route-214f19df,crm,/contatos,apps/crm/src/app/contatos/page.tsx,80,other,"<form className=""tblhead"" method=""get"" action=""/contatos"">"
crm-front-route-214f19df,crm,/contatos,apps/crm/src/componentes/estrutura-crm.tsx,144,other,"{ rotulo: 'Contatos', href: '/contatos', icone: 'pessoa' },"
crm-front-route-410a4d50,crm,/convite/:*,apps/crm/src/app/globais.css,1905,other,A ÚNICA tela pública do aplicativo: `/entrar` e `/convite/<token>`.
crm-front-route-410a4d50,crm,/convite/:*,apps/crm/src/lib/configuracoes-dados.ts,310,other,* `/convite/:token`: o convidado tomava 404 e o convite morria sem que ninguém
crm-front-route-410a4d50,crm,/convite/:*,apps/gestao-vite/README.md,21,doc,"- Entrada: `/entrar`, `/convite/:token`"
crm-front-route-525671ef,crm,/entrar,apps/crm/src/app/convite/[token]/page.tsx,82,href,"<a className=""btn entrar-google"" href=""/entrar"">"
crm-front-route-525671ef,crm,/entrar,apps/crm/src/app/entrar/acoes.ts,39,redirect,redirect(`/entrar?${volta.toString()}`);
crm-front-route-525671ef,crm,/entrar,apps/crm/src/app/entrar/acoes.ts,66,redirect,redirect('/entrar');
crm-front-route-525671ef,crm,/entrar,apps/crm/src/app/globais.css,1905,other,A ÚNICA tela pública do aplicativo: `/entrar` e `/convite/<token>`.
crm-front-route-525671ef,crm,/entrar,apps/crm/src/app/layout.tsx,31,other,/* `euAtual` e não `exigirEu`: este layout também embrulha `/entrar` e
crm-front-route-525671ef,crm,/entrar,apps/crm/src/app/layout.tsx,33,other,"para `/entrar` a partir do layout da própria `/entrar`, em círculo. */"
crm-front-route-525671ef,crm,/entrar,apps/crm/src/lib/banco.ts,63,redirect,if (!eu) redirect('/entrar');
crm-front-route-525671ef,crm,/entrar,apps/crm/src/middleware.ts,4,other,"* Sem cookie de sessão, a pessoa vai para `/entrar`. É a porta, e ela é uma só."
crm-front-route-525671ef,crm,/entrar,apps/crm/src/middleware.ts,12,other,"* do convite. Sem essa exceção, quem não tem sessão seria mandado para `/entrar`"
crm-front-route-525671ef,crm,/entrar,apps/crm/src/middleware.ts,13,other,"* e de lá para `/entrar`, para sempre."
crm-front-route-525671ef,crm,/entrar,apps/crm/src/middleware.ts,23,other,url.pathname = '/entrar';
crm-front-route-525671ef,crm,/entrar,apps/crm/src/middleware.ts,33,other,* não têm para onde ser redirecionados — e mandá-los para `/entrar` quebraria a
crm-front-route-525671ef,crm,/entrar,apps/gestao-vite/README.md,21,doc,"- Entrada: `/entrar`, `/convite/:token`"
crm-front-route-571e090e,crm,/oportunidades/:*,apps/crm/src/app/contas/[id]/page.tsx,80,link,"celula: (o) => <Link href={`/oportunidades/${o.id}`}>{o.nome}</Link>,"
crm-front-route-571e090e,crm,/oportunidades/:*,apps/crm/src/app/oportunidades/[id]/page.tsx,49,link,"celula: (o) => <Link href={`/oportunidades/${o.id}`}>{o.nome}</Link>,"
crm-front-route-571e090e,crm,/oportunidades/:*,apps/crm/src/app/oportunidades/[id]/page.tsx,239,other,base={`/oportunidades/${ficha.id}`}
crm-front-route-571e090e,crm,/oportunidades/:*,apps/crm/src/app/oportunidades/page.tsx,45,link,"celula: (o) => <Link href={`/oportunidades/${o.id}`}>{o.nome}</Link>,"
crm-front-route-571e090e,crm,/oportunidades/:*,apps/crm/src/componentes/quadro-funil.tsx,127,link,<Link href={`/oportunidades/${c.id}`}>{c.nome}</Link>
crm-front-route-34d9114c,crm,/oportunidades,apps/crm/src/app/oportunidades/[id]/page.tsx,93,other,"trilha={{ href: '/oportunidades', rotulo: 'Oportunidades' }}"
crm-front-route-34d9114c,crm,/oportunidades,apps/crm/src/app/oportunidades/acoes.ts,15,other,revalidatePath('/oportunidades');
crm-front-route-34d9114c,crm,/oportunidades,apps/crm/src/app/oportunidades/page.tsx,131,link,"<Link href=""/oportunidades"" role=""tab"" aria-current={vista === 'quadro' ? 'true' : undefined}>"
crm-front-route-34d9114c,crm,/oportunidades,apps/crm/src/app/oportunidades/page.tsx,135,href,"href=""/oportunidades?vista=tabela"""
crm-front-route-34d9114c,crm,/oportunidades,apps/crm/src/app/oportunidades/page.tsx,218,other,"<form className=""tblhead"" method=""get"" action=""/oportunidades"">"
crm-front-route-34d9114c,crm,/oportunidades,apps/crm/src/app/oportunidades/page.tsx,250,link,"<Link className=""btn"" href={`/oportunidades?${semBusca}`}>"
crm-front-route-34d9114c,crm,/oportunidades,apps/crm/src/app/page.tsx,98,link,"<Link href=""/oportunidades"" className=""btn"" style={{ marginLeft: 'auto' }}>"
crm-front-route-34d9114c,crm,/oportunidades,apps/crm/src/componentes/estrutura-crm.tsx,137,other,"{ rotulo: 'Oportunidades', href: '/oportunidades', icone: 'grade' },"
crm-front-route-34d9114c,crm,/oportunidades,apps/crm/src/lib/busca.ts,84,other,"href: `/oportunidades`,"
